fromNode	toNode	weight
VCAN	IL1B	0.0944148406275719
VCAN	LYZ	0.254315230413743
VCAN	FCN1	0.165559923888133
VCAN	LOC100423631	0.189288957038331
VCAN	MNDA	0.247080737089691
VCAN	CD163	0.225461649803275
VCAN	MAFB	0.196304019385714
VCAN	RTD1A	0.0542854443957831
VCAN	PLBD1	0.18094232701254
VCAN	FCGR2B	0.168915156881459
VCAN	GNB4	0.0628258807022009
VCAN	IDO1	0.124167402905309
VCAN	KLF4	0.139039239565067
VCAN	CPVL	0.201460698743763
VCAN	C5AR1	0.204990885690728
VCAN	AIF1	0.232180405672361
VCAN	CYBB	0.13140482810623
VCAN	CFD	0.0856198006576809
VCAN	KCTD12	0.201256447985446
VCAN	TGFBI	0.239238560553012
VCAN	MPEG1	0.202540010467108
VCAN	DUSP6	0.148424969018301
VCAN	PILRA	0.231242739425755
VCAN	QPCT	0.148452287397951
VCAN	SIGLEC11	0.233165749357086
VCAN	CSTA	0.174136311853546
VCAN	HCK	0.189487052982548
VCAN	FN1	0.13646187092903
VCAN	MARCKS	0.212760810022804
VCAN	CXCL3	0.0556489776745783
VCAN	FCER1G	0.202860641385349
VCAN	LILRB1	0.225139413533851
VCAN	MS4A6A	0.225718369314784
VCAN	C1orf162	0.23012839770461
VCAN	ALDH1A1	0.216391205256138
VCAN	G0S2	0.0987248613882018
VCAN	CLEC7A	0.210984971838141
VCAN	RBM47	0.191318788907913
VCAN	PTX3	0.0969212761222358
VCAN	CTBP2	0.0755098384986039
VCAN	KYNU	0.203300271118442
VCAN	CEBPA	0.0733300247301692
VCAN	IER3	0.0560789993306498
VCAN	CD93	0.0869464040400192
VCAN	HLA-DMB	0.0920852407568409
VCAN	DEFA1	0.068949160935452
VCAN	VMO1	0.0737738988531371
VCAN	TNFRSF21	0.218107164621198
VCAN	CST3	0.119976073990519
VCAN	NLRP3	0.109324810514026
VCAN	DAPK1	0.177223000863048
VCAN	MS4A7	0.0508541147734267
VCAN	PTGS2	0.0717435509536928
VCAN	LILRB2	0.216723345094983
VCAN	RNASE3	0.157399801130432
VCAN	EPS8	0.0971137649030937
VCAN	FCER1A	0.106479786243206
VCAN	LMO2	0.12097821905086
VCAN	SLC7A7	0.210074865134529
VCAN	PRCP	0.130642527160363
VCAN	SERPINB10	0.192672529305862
VCAN	CCR1	0.21912045792565
VCAN	C3AR1	0.149813080222757
VCAN	IGSF6	0.231554655128193
VCAN	LILRA2	0.206354486810959
VCAN	JDP2	0.102163647435159
VCAN	CD14	0.158534313289315
VCAN	EAF2	0.175882761145773
VCAN	QKI	0.0700477563527515
VCAN	40237	0.0996578781134066
VCAN	FLJ44896	0.0791297436954328
VCAN	THBD	0.186081197681018
VCAN	NEURL1B	0.0986558693884946
VCAN	TFEC	0.210395044510455
VCAN	FAM198B	0.0819557197229142
VCAN	TNFSF13	0.213702544038192
VCAN	TLR4	0.188026712886899
VCAN	C6orf89	0.0676299442005659
VCAN	PTAFR	0.179937670349875
VCAN	CSF2RA	0.210816959593263
VCAN	ARRDC4	0.120452240565261
VCAN	LPCAT2	0.159520760454066
VCAN	CCL20	0.052722132243334
VCAN	CSF1R	0.149598204132553
VCAN	TLR8	0.215117152940029
VCAN	ANKRD33B	0.0500407556796879
VCAN	CDKN1A	0.0585022111288493
VCAN	TLR2	0.151695305511527
VCAN	PLA2G7	0.125576574830082
VCAN	CXCL1	0.0610639330372503
IL1B	LYZ	0.0814718663316481
IL1B	FCN1	0.0817221522502867
IL1B	IL8	0.108419674029426
IL1B	LOC100423631	0.0908102829853749
IL1B	MNDA	0.103110101808765
IL1B	CD163	0.10541965488915
IL1B	MAFB	0.109723375186055
IL1B	PLBD1	0.090802965832941
IL1B	FCGR2B	0.069854284103008
IL1B	IDO1	0.0693187189521351
IL1B	KLF4	0.0520683344551497
IL1B	CPVL	0.0988814979418953
IL1B	C5AR1	0.145725058602577
IL1B	AIF1	0.112134784523479
IL1B	CYBB	0.0780139784239899
IL1B	KCTD12	0.0771748581001967
IL1B	TGFBI	0.0906919694374171
IL1B	MPEG1	0.0831103218715104
IL1B	DUSP6	0.0794944709725389
IL1B	PILRA	0.093380424115653
IL1B	QPCT	0.0662861992227036
IL1B	SIGLEC11	0.123450522646507
IL1B	CSTA	0.0707028672774661
IL1B	HCK	0.09871664716566
IL1B	CXCL3	0.0873133176382331
IL1B	FCER1G	0.0856795700725091
IL1B	LILRB1	0.152359810608829
IL1B	MS4A6A	0.0531946866479455
IL1B	C1orf162	0.112386572602639
IL1B	ALDH1A1	0.0779756793173451
IL1B	G0S2	0.0873564347174847
