fromNode	toNode	weight
OLFM4	MATN2	0.0662781391069029
OLFM4	IL26	0.0821156129093294
OLFM4	DNER	0.0864740956797371
OLFM4	LTB4R	0.051493183617402
OLFM4	HS6ST2	0.0993396749915749
OLFM4	ZNRF1	0.0913296728890782
CCR6	CHN1	0.0539582675854213
CCR6	MATN2	0.066523057231578
CCR6	ADAM12	0.0960564509004737
CCR6	IL1R1	0.0557045420755411
CCR6	RYR2	0.0679986449446845
CCR6	LAPTM4B	0.0942545862406747
CCR6	RORC	0.0862631802325369
CCR6	IL23R	0.102227893230303
CCR6	PAK3	0.0905280223315534
CCR6	LOC702648	0.111309960391207
CCR6	HLF	0.0571567662775108
CCR6	KCNA2	0.0545340441736488
CCR6	EHD4	0.0560409763764672
CCR6	STON1	0.0721549846489064
CHN1	MATN2	0.0909479754520942
CHN1	IL1R1	0.082231960215236
CHN1	IL26	0.0542411094630529
CHN1	RYR2	0.0941170120307375
CHN1	LAPTM4B	0.0704815738517905
CHN1	RORC	0.10593072392249
CHN1	EGLN3	0.0584399510284765
CHN1	IL23R	0.0871043698471151
CHN1	PAK3	0.0626987367027507
CHN1	LOC702648	0.0788432477305328
CHN1	KIF5C	0.0512905490703183
CHN1	STON1	0.0962259364771824
CHN1	LTB4R	0.0774996198079251
CHN1	LOC702862	0.107051132135391
MATN2	ADAM12	0.0946942135803792
MATN2	IL1R1	0.0808086904488711
MATN2	IL26	0.130030696383168
MATN2	RYR2	0.153171710404049
MATN2	LAPTM4B	0.126458556085347
MATN2	RORC	0.200365556740279
MATN2	EGLN3	0.067612746548344
MATN2	IL22	0.0527401424769605
MATN2	IL23R	0.147606661418249
MATN2	PAK3	0.0705448649519616
MATN2	DNER	0.0510949944045835
MATN2	LOC702648	0.148379928997025
MATN2	STON1	0.164476627540887
MATN2	LTB4R	0.1396740703958
MATN2	HS6ST2	0.059292026457347
MATN2	LOC702862	0.0870541069107197
MATN2	ZNRF1	0.10144425651958
ADAM12	RYR2	0.0776376171566941
ADAM12	LAPTM4B	0.100045823412847
ADAM12	RORC	0.104682290211527
ADAM12	IL23R	0.102159416323716
ADAM12	PAK3	0.0604148442625124
ADAM12	LOC702648	0.125997886815769
ADAM12	STON1	0.0862106351758503
ADAM12	LTB4R	0.0551479221350591
IL1R1	IL26	0.0514022437196293
IL1R1	RYR2	0.089473477261275
IL1R1	LAPTM4B	0.0652717393234382
IL1R1	RORC	0.106200259420018
IL1R1	EGLN3	0.0704360066843861
IL1R1	IL23R	0.0896184505069613
IL1R1	PAK3	0.0672348289447809
IL1R1	LOC702648	0.0765722123575561
IL1R1	KIF5C	0.0516944124323825
IL1R1	STON1	0.0808860285794981
IL1R1	LTB4R	0.0711156403583871
IL1R1	LOC702862	0.0691336447019138
IL26	RYR2	0.0922861283832286
IL26	LAPTM4B	0.0519221214773532
IL26	RORC	0.0976566996190463
IL26	IL22	0.0618768838416147
IL26	IL23R	0.0673648424645785
IL26	DNER	0.0914789792459565
IL26	LOC702648	0.0646398641014169
IL26	STON1	0.0891517717268093
IL26	LTB4R	0.104446747232969
IL26	HS6ST2	0.106838025242076
IL26	LOC702862	0.0827527840945559
IL26	ZNRF1	0.140955063172445
IL26	IL17A	0.0552442998015172
RYR2	LAPTM4B	0.0994325159037502
RYR2	RORC	0.205861135712105
RYR2	EGLN3	0.0709165653308041
RYR2	IL23R	0.157849697334658
RYR2	PAK3	0.0913038293374936
RYR2	LOC702648	0.100888815554333
RYR2	STON1	0.134171984106364
RYR2	LTB4R	0.124711906754922
RYR2	LOC702862	0.0818136513682468
RYR2	ZNRF1	0.0504370365699298
LAPTM4B	RORC	0.134578750512484
LAPTM4B	EGLN3	0.0509958682038721
LAPTM4B	IL23R	0.11956871947082
LAPTM4B	PAK3	0.071033238488312
LAPTM4B	LOC702648	0.203834236501484
LAPTM4B	KIF5C	0.051643558323925
LAPTM4B	STON1	0.108567621965413
LAPTM4B	LTB4R	0.0823725726554978
LAPTM4B	LOC702862	0.0579998526904557
RORC	ZNF462	0.0549080527196369
RORC	EGLN3	0.0794983515746703
RORC	IL23R	0.216348082306124
RORC	PAK3	0.106628639581677
RORC	LOC702648	0.172458048110891
RORC	KIF5C	0.0673433478056195
RORC	KCNA2	0.0594998162927734
RORC	EHD4	0.0514716848261667
RORC	STON1	0.211602401738977
RORC	LTB4R	0.168926157613987
RORC	LOC702862	0.121272100347703
RORC	ZNRF1	0.0704413898143447
RORC	MLLT11	0.0515722446718328
ZNF462	PAK3	0.0644839714494874
ZNF462	MFHAS1	0.0515360501160891
EGLN3	IL23R	0.0650524369627886
EGLN3	LOC702648	0.061654702698937
EGLN3	STON1	0.0655625590058112
EGLN3	LTB4R	0.0592489730770307
EGLN3	LOC702862	0.0548369280548498
IL22	HS6ST2	0.054900703140119
IL22	ZNRF1	0.0597562570399054
IL23R	PAK3	0.13178068186231
IL23R	LOC702648	0.119537732947196
IL23R	STON1	0.135044632358518
IL23R	LTB4R	0.116208757438299
IL23R	LOC702862	0.0609472819838836
IL23R	MLLT11	0.0524433622966062
PAK3	LOC702648	0.0839589056406419
PAK3	KIF5C	0.051287258613045
PAK3	KCNA2	0.0500530231946796
PAK3	EHD4	0.0691873944948486
PAK3	STON1	0.078879061143418
PAK3	LTB4R	0.0592098333854014
DNER	WDFY3	0.0521712926665391
DNER	HS6ST2	0.140213799672916
DNER	ZNRF1	0.0961840315616724
LOC702648	STON1	0.0813132122954886
LOC702648	LTB4R	0.0882170638991824
C10orf128	STAMBPL1	0.0506808014342629
STON1	LTB4R	0.130078789611305
LTB4R	LOC702862	0.0843788557415525
LTB4R	ZNRF1	0.0636548902987255
WDFY3	HS6ST2	0.0597941186239276
HS6ST2	ZNRF1	0.10221991269583
